domain,city,state,type,org,status,bid_url,platform,checked_date
gustavus-ak.gov,Gustavus,AK,City,City of Gustavus,found,https://gustavus-ak.gov/Bids.aspx,civicplus,2026-08-11
cityofatmore.gov,Atmore,AL,City,City of Atmore,found,https://cityofatmore.gov/Bids.aspx,civicplus,2026-08-11
hooveralabama.gov,Hoover,AL,City,City of Hoover,found,https://hooveralabama.gov/Bids.aspx,civicplus,2026-08-11
greenvilleal.gov,Greenville,AL,City,"City of Greenville, AL",found,https://greenvilleal.gov/Bids.aspx,civicplus,2026-08-11
hueytownal.gov,Hueytown,AL,City,City Of Hueytown,found,https://hueytownal.gov/Bids.aspx,civicplus,2026-08-11
cityofwasilla.gov,WASILLA,AK,City,City of Wasilla,found,https://cityofwasilla.gov/Bids.aspx,civicplus,2026-08-11
leedsalabama.gov,Leeds,AL,City,City of Leeds,found,https://leedsalabama.gov/Bids.aspx,civicplus,2026-08-11
cullmanal.gov,CULLMAN,AL,City,City of Cullman,found,https://cullmanal.gov/Bids.aspx,civicplus,2026-08-11
valdezak.gov,Valdez,AK,City,City of Valdez,found,https://valdezak.gov/Bids.aspx,civicplus,2026-08-11
sitkapd.gov,Sitka,AK,City,Sitka Police Department,found,https://sitkapd.gov/Bids.aspx,civicplus,2026-08-11
ketchikan.gov,Ketchikan,AK,City,City of Ketchikan,found,https://ketchikan.gov/bids,agency,2026-08-11
atmore.gov,Atmore,AL,City,City of Atmore,not_found,,,2026-08-11
cityoflipscomb.gov,Bessemer,AL,City,City of Lipscomb,not_found,,,2026-08-11
northportal.gov,Northport,AL,City,City of Northport,found,https://northportal.gov/Bids.aspx,civicplus,2026-08-11
northpolepoliceak.gov,North Pole,AK,City,North Pole Police Department,not_found,,,2026-08-11
cityofmobile.gov,Mobile,AL,City,City of Mobile,found,https://cityofmobile.gov/Bids.aspx,civicplus,2026-08-11
northpoleak.gov,North Pole,AK,City,City of North Pole,not_found,,,2026-08-11
townofaltoona.gov,"Altoona, AL",AL,City,Town of Altoona,not_found,,,2026-08-11
unk.gov,Unalakleet,AK,City,City of Unalakleet,not_found,,,2026-08-11
cordovapdak.gov,Cordova,AK,City,City of Cordova,not_found,,,2026-08-11
anchorageak.gov,Anchorage,AK,City,Municipality of Anchorage,not_found,,,2026-08-11
northpolefireak.gov,North Pole,AK,City,North Pole Fire Department,not_found,,,2026-08-11
haleburgal.gov,Haleburg,AL,City,Town of Haleburg,not_found,,,2026-08-11
townofglenwoodal.gov,Glenwood,AL,City,Town of Glenwood,not_found,,,2026-08-11
cityofluverneal.gov,Luverne,AL,City,City of Luverne,not_found,,,2026-08-11
elbertaal.gov,Elberta,AL,City,Town of Elberta,not_found,,,2026-08-11
cityofkotzebue.gov,Kotzebue,AK,City,City of Kotzebue,not_found,,,2026-08-11
clevelandal.gov,Cleveland,AL,City,Town of Cleveland,not_found,,,2026-08-11
kenai.gov,Kenai,AK,City,City of Kenai,not_found,,,2026-08-11
hooveral.gov,Hoover,AL,City,City of Hoover,not_found,,,2026-08-11
opelika-al.gov,Opelika,AL,City,City of Opelika,found,https://opelika-al.gov/Bids.aspx,civicplus,2026-08-11
cityofhomer-ak.gov,Homer,AK,City,City of Homer,not_found,,,2026-08-11
eclectic-al.gov,ECLECTIC,AL,City,Town of Eclectic,not_found,,,2026-08-11
brundidgeal.gov,Brundidge,AL,City,City of Brundidge,not_found,,,2026-08-11
bayminette.gov,Bay Minette,AL,City,City of Bay Minette,not_found,,,2026-08-11
aleknagikak.gov,Aleknagik,AK,City,City of Aleknagik,not_found,,,2026-08-11
petersburgak.gov,Petersburg,AK,City,"Petersburg Borough, Alaska",not_found,,,2026-08-11
orangebeachal.gov,Orange Beach,AL,City,City of Orange Beach,found,https://orangebeachal.gov/Bids.aspx,civicplus,2026-08-11
unalaska.gov,Unalaska,AK,City,City of Unalaska,not_found,,,2026-08-11
maytownal.gov,Maytown,AL,City,Town of Maytown,not_found,,,2026-08-11
moultoncityal.gov,MOULTON,AL,City,City of Moulton,not_found,,,2026-08-11
cityofkasaanak.gov,Kasaan,AK,City,City of Kasaan,not_found,,,2026-08-11
pricevillepdal.gov,Decatur,AL,City,City of Priceville Police Department,not_found,,,2026-08-11
cityofmillbrook-al.gov,Millbrook,AL,City,City of Millbrook Alabama,not_found,,,2026-08-11
andalusiaal.gov,Andalusia,AL,City,City of Andalusia,not_found,,,2026-08-11
pelhamalrecreation.gov,Pelham,AL,City,Pelham Parks & Recreation,found,https://pelhamalrecreation.gov/Bids.aspx,civicplus,2026-08-11
madisonal.gov,Madison,AL,City,City of Madison,not_found,,,2026-08-11
pelhamalabama.gov,Pelham,AL,City,City of Pelham,found,https://pelhamalabama.gov/Bids.aspx,civicplus,2026-08-11
haydenal.gov,hayden,AL,City,Town of Hayden,not_found,,,2026-08-11
cowarts.gov,Cowarts,AL,City,City of Cowarts,not_found,,,2026-08-11
guntersvilleal.gov,Guntersville,AL,City,City of Guntersville,not_found,,,2026-08-11
alexandercityal.gov,Alexander City,AL,City,City of Alexander City,not_found,,,2026-08-11
magnoliaspringsal.gov,Magnolia Springs,AL,City,Town of Magnolia Springs,not_found,,,2026-08-11
cityofadamsville.gov,Adamsville,AL,City,City of Adamsville,not_found,,,2026-08-11
huntsvilleal.gov,Huntsville,AL,City,City of Huntsville,not_found,,,2026-08-11
birminghamal911.gov,Birmingham,AL,City,Birmingham Emergency Communication District,not_found,,,2026-08-11
sewardak.gov,Seward,AK,City,City of Seward,not_found,,,2026-08-11
harpersvilleal.gov,Harpersville,AL,City,Town of Harpersville,not_found,,,2026-08-11
cityoffoley.gov,Foley,AL,City,City of Foley,not_found,,,2026-08-11
pelhamlibraryal.gov,Pelham,AL,City,Pelham Publc Library,found,https://pelhamlibraryal.gov/Bids.aspx,civicplus,2026-08-11
annistonal.gov,Anniston,AL,City,"City of Anniston, Alabama",found,https://annistonal.gov/purchasing,agency,2026-08-11
greensboroal.gov,Greensboro,AL,City,City of Greensboro,not_found,,,2026-08-11
louisvillealabama.gov,Louisville,AL,City,Town of Louisville,not_found,,,2026-08-11
coosadaal.gov,Coosada,AL,City,Town of Coosada,not_found,,,2026-08-11
adak-ak.gov,Adak,AK,City,City of Adak,not_found,,,2026-08-11
evergreenal.gov,Evergreen,AL,City,City of Evergreen,not_found,,,2026-08-11
fultondaleal.gov,Fultondale,AL,City,City of Fultondale,not_found,,,2026-08-11
centreal.gov,Centre,AL,City,City of Centre,not_found,,,2026-08-11
headlandpd.gov,Headland,AL,City,Headland Police Department,not_found,,,2026-08-11
auburnal.gov,,AL,City,"City of Auburn, AL",found,https://auburnal.gov/bids,agency,2026-08-11
enterpriseal.gov,Enterprise,AL,City,City of Enterprise,found,https://enterpriseal.gov/services/engineering/bid_opportunities.php,agency,2026-08-11
wetumpkaal.gov,Wetumpka,AL,City,City of Wetumpka,found,https://wetumpkaal.gov/Bids.aspx,civicplus,2026-08-11
cityofirondaleal.gov,Irondale,AL,City,City Of Irondale,found,https://cityofirondaleal.gov/bid-listings/,agency,2026-08-11
saraland.gov,Saraland,AL,City,City of Saraland,not_found,,,2026-08-11
highlandlakeal.gov,Highland Lake,AL,City,Town of Highland Lake,not_found,,,2026-08-11
mentonealabama.gov,Mentone,AL,City,Town of Mentone,not_found,,,2026-08-11
philcampbellal.gov,Phil Campbell,AL,City,Town of Phil Campbell,not_found,,,2026-08-11
owenscrossroadsal.gov,Owens Cross Roads,AL,City,City of Owens Cross Roads,not_found,,,2026-08-11
cityofoppal.gov,Opp,AL,City,"The City of Opp, AL",not_found,,,2026-08-11
townofparrishal.gov,Parrish,AL,City,Town of Parrish,not_found,,,2026-08-11
prattville-al.gov,Prattville,AL,City,City of Prattville,not_found,,,2026-08-11
odenvilleal.gov,Odenville,AL,City,City of Odenville,not_found,,,2026-08-11
portofnenana.gov,Nenana,AK,City,City of Nenana,not_found,,,2026-08-11
hornhillal.gov,Opp,AL,City,TOWN OF HORN HILL,not_found,,,2026-08-11
arkadelphia.gov,Arkadelphia,AR,City,City of Arkadelphia,found,https://arkadelphia.gov/Bids.aspx,civicplus,2026-08-11
gardendale.gov,Gardendale,AL,City,City of Gardendale,not_found,,,2026-08-11
