domain,org,city,state,type,qid,website
wincoil.us,Winnebago County,Winnebago,IL,County,Q110606,http://www.wincoil.us/
shelbycounty-il.com,Shelby County,Shelby,IL,County,Q373953,http://www.shelbycounty-il.com
cherokeecountyiowa.com,Cherokee County,Cherokee,IA,County,Q111876,http://www.cherokeecountyiowa.com
worthcounty.org,Worth County,Worth,IA,County,Q485463,http://www.worthcounty.org
woodbury-ia.com,Woodbury County,Woodbury,IA,County,Q486006,http://www.woodbury-ia.com
dimmitcounty.org,Dimmit County,Dimmit,TX,County,Q26619,https://www.dimmitcounty.org/
leecounty.arkansas.gov,Lee County,Lee,AR,County,Q61150,http://leecounty.arkansas.gov/
hotspringcounty.org,Hot Spring County,Hot Spring,AR,County,Q61348,https://hotspringcounty.org
nevadacounty.arkansas.gov,Nevada County,Nevada,AR,County,Q61500,http://nevadacounty.arkansas.gov/
boonecountyar.com,Boone County,Boone,AR,County,Q61010,http://www.boonecountyar.com
countyofsb.org,Santa Barbara County,Santa Barbara,CA,County,Q108106,http://countyofsb.org
inyocounty.us,Inyo County,Inyo,CA,County,Q109670,https://www.inyocounty.us/
etowahcounty.org,Etowah County,Etowah,AL,County,Q493951,http://www.etowahcounty.org
co.armstrong.tx.us,Armstrong County,Armstrong,TX,County,Q107977,https://www.co.armstrong.tx.us/
rockwallcountytexas.com,Rockwall County,Rockwall,TX,County,Q111391,https://www.rockwallcountytexas.com/
co.yoakum.tx.us,Yoakum County,Yoakum,TX,County,Q112619,https://www.co.yoakum.tx.us/
stonewallcounty.org,Stonewall County,Stonewall,TX,County,Q113906,https://www.stonewallcounty.org/
co.la-salle.tx.us,La Salle County,La Salle,TX,County,Q156440,https://www.co.la-salle.tx.us/
co.sauk.wi.us,Sauk County,Sauk,WI,County,Q500933,http://www.co.sauk.wi.us
co.menominee.wi.us,Menominee County,Menominee,WI,County,Q500947,http://www.co.menominee.wi.us
co.hertford.nc.us,Hertford County,Hertford,NC,County,Q751202,http://www.co.hertford.nc.us
co.butler.pa.us,Butler County,Butler,PA,County,Q488672,http://www.co.butler.pa.us
co.schuylkill.pa.us,Schuylkill County,Schuylkill,PA,County,Q494207,http://www.co.schuylkill.pa.us
susqco.com,Susquehanna County,Susquehanna,PA,County,Q495603,http://www.susqco.com
belknapcounty.org,Belknap County,Belknap,NH,County,Q54442,http://www.belknapcounty.org
co.chaves.nm.us,Chaves County,Chaves,NM,County,Q111245,http://co.chaves.nm.us
co.burlington.nj.us,Burlington County,Burlington,NJ,County,Q138141,https://www.co.burlington.nj.us/
co.middlesex.nj.us,Middlesex County,Middlesex,NJ,County,Q496862,http://www.co.middlesex.nj.us/
cartercountymosheriff.org,Carter County,Carter,MO,County,Q484786,https://www.cartercountymosheriff.org/page.php?id=6
andersontn.org,Anderson County,Anderson,TN,County,Q490318,http://www.andersontn.org
saludacounty.sc.gov,Saluda County,Saluda,SC,County,Q513775,http://www.saludacounty.sc.gov
co.brown.mn.us,Brown County,Brown,MN,County,Q110900,http://www.co.brown.mn.us
co.martin.mn.us,Martin County,Martin,MN,County,Q284439,http://www.co.martin.mn.us
gardencone.com,Garden County,Garden,NE,County,Q489783,http://www.gardencone.com
skamaniacounty.org,Skamania County,Skamania,WA,County,Q304791,http://www.skamaniacounty.org
prestoncountywv.org,Preston County,Preston,WV,County,Q495157,http://www.prestoncountywv.org
co.guilford.nc.us,Guilford County,Guilford,NC,County,Q502257,http://www.co.guilford.nc.us
haywoodnc.net,Haywood County,Haywood,NC,County,Q502496,http://haywoodnc.net
hokecounty.net,Hoke County,Hoke,NC,County,Q502507,https://www.hokecounty.net/
jackson.okcounties.org,Jackson County,Jackson,OK,County,Q485030,http://jackson.okcounties.org
countycourthouse.org,Washington County,Washington,OK,County,Q489486,http://www.countycourthouse.org
franklincoks.org,Franklin County,Franklin,KS,County,Q374989,http://www.FranklinCoKS.org
harlancountyclerk.com,Harlan County,Harlan,KY,County,Q500751,https://www.harlancountyclerk.com/
