state,county,lat,lon,population
AK,Aleutians East,54.6729,-163.7637,3420
AK,Aleutians West,54.0246,-168.1480,5232
AK,Anchorage,61.1915,-149.7923,291247
AK,Bethel,60.6676,-162.1783,18666
AK,Bristol Bay,58.7335,-156.8336,844
AK,Chugach,60.8814,-146.1992,7102
AK,Copper River,62.0608,-145.0329,2617
AK,Denali,63.8643,-149.0275,1619
AK,Dillingham,59.1288,-158.7513,4857
AK,Fairbanks North Star,64.8312,-147.6232,95655
AK,Haines,59.2342,-135.4973,2080
AK,Hoonah-Angoon,58.1239,-135.4235,2365
AK,Juneau,58.3602,-134.5330,32255
AK,Kenai Peninsula,60.2840,-151.0681,58799
AK,Ketchikan Gateway,55.3691,-131.6784,13948
AK,Kodiak Island,57.7746,-152.4548,13101
AK,Kusilvak,62.0768,-164.3405,8368
AK,Lake and Peninsula,58.6172,-156.2734,1476
AK,Matanuska-Susitna,61.6072,-149.4326,107081
AK,Nome,64.4316,-165.2691,10046
AK,North Slope,70.4808,-155.2954,11031
AK,Northwest Arctic,66.8971,-161.5830,7793
AK,Petersburg,56.7951,-132.9436,3398
AK,Prince of Wales-Hyder,55.5908,-132.6688,5753
AK,Sitka,57.0628,-135.3360,8458
AK,Skagway,59.4659,-135.3106,1240
AK,Southeast Fairbanks,63.8616,-144.6988,6808
AK,Wrangell,56.4261,-132.3554,2127
AK,Yakutat,59.5451,-139.7149,662
AK,Yukon-Koyukuk,64.9661,-152.8277,5343
AL,Autauga,32.5002,-86.4878,58805
AL,Baldwin,30.5374,-87.7615,231767
AL,Barbour,31.8440,-85.3013,25223
AL,Bibb,33.0322,-87.1368,22293
AL,Blount,33.9546,-86.5927,59134
AL,Bullock,32.1158,-85.7024,10357
AL,Butler,31.7760,-86.6524,19051
AL,Calhoun,33.7272,-85.8180,116441
AL,Chambers,32.8564,-85.2596,34772
AL,Cherokee,34.1805,-85.6299,24971
AL,Chilton,32.8791,-86.6889,45014
AL,Choctaw,32.0161,-88.2625,12665
AL,Clarke,31.6835,-87.8159,23087
AL,Clay,33.2743,-85.8172,14236
