domain,type,org,city,state
adak-ak.gov,City,City of Adak,Adak,AK
aleknagikak.gov,City,City of Aleknagik,Aleknagik,AK
anchorageak.gov,City,Municipality of Anchorage,Anchorage,AK
cordovapdak.gov,City,City of Cordova,Cordova,AK
fairbanks.gov,City,City of Fairbanks,Fairbanks,AK
fnsb.gov,County,Fairbanks North Star Borough,Fairbanks,AK
gustavus-ak.gov,City,City of Gustavus,Gustavus,AK
hainesalaska.gov,County,Haines Borough,Haines,AK
cityofhomer-ak.gov,City,City of Homer,Homer,AK
houston-ak.gov,City,"City of Houston, Alaska",Houston,AK
juneau.gov,City,City and Borough of Juneau,Juneau,AK
cityofkasaanak.gov,City,City of Kasaan,Kasaan,AK
kenai.gov,City,City of Kenai,Kenai,AK
ketchikan.gov,City,City of Ketchikan,Ketchikan,AK
kingcovedps.gov,City,King Cove Department of Public Safety,King Cove,AK
baysidefireak.gov,County,Kodiak Island Borough,Kodiak,AK
kodiak.gov,County,Kodiak Island Borough,Kodiak,AK
womensbayfireak.gov,County,Womens Bay Fire Department,Kodiak,AK
cityofkotzebue.gov,City,City of Kotzebue,Kotzebue,AK
portofnenana.gov,City,City of Nenana,Nenana,AK
northpoleak.gov,City,City of North Pole,North Pole,AK
northpolefireak.gov,City,North Pole Fire Department,North Pole,AK
northpolepoliceak.gov,City,North Pole Police Department,North Pole,AK
matsu.gov,County,Matanuska-Susitna Borough,Palmer,AK
petersburgak.gov,City,"Petersburg Borough, Alaska",Petersburg,AK
sewardak.gov,City,City of Seward,Seward,AK
sitkapd.gov,City,Sitka Police Department,Sitka,AK
skagway.gov,County,Municipality of Skagway,Skagway,AK
thornebay-ak.gov,City,City Of Thorne Bay,Thorne Bay,AK
unk.gov,City,City of Unalakleet,Unalakleet,AK
unalaska.gov,City,City of Unalaska,Unalaska,AK
valdezak.gov,City,City of Valdez,Valdez,AK
cityofwasilla.gov,City,City of Wasilla,WASILLA,AK
whittieralaska.gov,City,City of Whittier,Whittier,AK
auburnal.gov,City,"City of Auburn, AL",,AL
henrycountyal.gov,County,Henry County Commission,Abbeville,AL
henrycountysheriff-al.gov,County,Henry County Sheriff's Office,Abbeville,AL
cityofadamsville.gov,City,City of Adamsville,Adamsville,AL
cityofalbertvilleal.gov,City,City of Albertville,Albertville,AL
alexandercityal.gov,City,City of Alexander City,Alexander City,AL
townofaltoona.gov,City,Town of Altoona,"Altoona, AL",AL
andalusiaal.gov,City,City of Andalusia,Andalusia,AL
covingtoncountyal.gov,County,Covington County Commission,Andalusia,AL
annistonal.gov,City,"City of Anniston, Alabama",Anniston,AL
calhounalsheriff.gov,County,Calhoun County Sheriff’s Office,Anniston,AL
calhouncountyal.gov,County,Calhoun County Commission,Anniston,AL
limestonecounty-al.gov,County,Limestone County Commission,Athens,AL
limestonecountyema-al.gov,County,Limestone County Emergency Management Agency,Athens,AL
atmore.gov,City,City of Atmore,Atmore,AL
cityofatmore.gov,City,City of Atmore,Atmore,AL
townofbaileytonal.gov,City,Town of Baileyton,Baileyton,AL
baldwincountyal.gov,County,Baldwin County Commission,Bay Minette,AL
bayminette.gov,City,City of Bay Minette,Bay Minette,AL
cityofbayminetteal.gov,City,City of Bay Minette,Bay Minette,AL
blbutilitiesal.gov,City,Utilities Board for the City of Bayou la Batre,Bayou la Batre,AL
cityoflipscomb.gov,City,City of Lipscomb,Bessemer,AL
mcadoryfire.gov,Special district,McAdory Area Fire District,Bessemer,AL
birminghamal.gov,City,City of Birmingham,Birmingham,AL
birminghamal911.gov,City,Birmingham Emergency Communication District,Birmingham,AL
caw-al.gov,Special district,Central Alabama Water,Birmingham,AL
escambiacountyal.gov,County,Escambia County Commission of Alabama,Brewton,AL
cityofbrookwoodal.gov,City,City of Brookwood,Brookwood,AL
brundidgeal.gov,City,City of Brundidge,Brundidge,AL
wilcoxcountyal.gov,County,WILCOX COUNTY COMMISSION,CAMDEN,AL
centreal.gov,City,City of Centre,Centre,AL
cherokeecounty-al.gov,County,Cherokee County Commission,Centre,AL
chiltoncountyso.gov,County,Chilton County Sheriff's Office,Clanton,AL
clantonal.gov,City,City of Clanton,Clanton,AL
barbourcountyal.gov,County,Barbour County Commission,Clayton,AL
clevelandal.gov,City,Town of Cleveland,Cleveland,AL
coosada911al.gov,Special district,Coosada 911 Communications District,Coosada,AL
coosadaal.gov,City,Town of Coosada,Coosada,AL
cowarts.gov,City,City of Cowarts,Cowarts,AL
berlinal.gov,City,Town of Berlin,Cullman,AL
cullmanal.gov,City,City of Cullman,CULLMAN,AL
dauphinisland.gov,City,Town of Dauphin Island,Dauphin Island,AL
decatur-al.gov,City,City of Decatur,Decatur,AL
morgancounty-al.gov,County,Morgan County Commission,Decatur,AL
