domain,org,city,state,type,qid,website
islamorada.fl.us,Islamorada,Islamorada,FL,City,Q938815,http://www.islamorada.fl.us
carson.org,Carson City,Carson City,NV,City,Q40881,https://www.carson.org
cityofchesapeake.net,Chesapeake,Chesapeake,VA,City,Q49222,https://www.cityofchesapeake.net/
ci.emporia.va.us,Emporia,Emporia,VA,City,Q177678,http://www.ci.emporia.va.us/
suffolkva.us,Suffolk,Suffolk,VA,City,Q342428,http://www.suffolkva.us/
franklinva.com,Franklin,Franklin,VA,City,Q350001,http://www.franklinva.com/
waynesboro.va.us,Waynesboro,Waynesboro,VA,City,Q501779,http://www.waynesboro.va.us/
staunton.va.us,Staunton,Staunton,VA,City,Q502250,http://www.staunton.va.us/
cityofmanassaspark.us,Manassas Park,Manassas Park,VA,City,Q502269,http://www.cityofmanassaspark.us/
nortonva.org,Norton,Norton,VA,City,Q502984,http://www.nortonva.org/
galaxva.com,Galax,Galax,VA,City,Q503000,http://www.galaxva.com/
buenavistavirginia.org,Buena Vista,Buena Vista,VA,City,Q503014,http://www.buenavistavirginia.org/
bristolva.org,Bristol,Bristol,VA,City,Q503366,http://www.bristolva.org/
petersburg-va.org,Petersburg,Petersburg,VA,City,Q511964,http://www.petersburg-va.org
radford.va.us,Radford,Radford,VA,City,Q586070,http://www.radford.va.us/
ci.fremont.ca.us,Fremont,Fremont,CA,City,Q49220,http://www.ci.fremont.ca.us
santa-ana.org,Santa Ana,Santa Ana,CA,City,Q49244,https://www.santa-ana.org/
visitbakersfield.com,Bakersfield,Bakersfield,CA,City,Q49256,https://www.visitbakersfield.com/
cityofnapa.org,Napa,Napa,CA,City,Q60537,http://www.cityofnapa.org
ci.st-helena.ca.us,St. Helena,St. Helena,CA,City,Q125733,http://www.ci.st-helena.ca.us
cityoflivermore.net,Livermore,Livermore,CA,City,Q138901,http://www.cityoflivermore.net
cityofsanmateo.org,San Mateo,San Mateo,CA,City,Q169943,https://www.cityofsanmateo.org/
suisun.com,Suisun City,Suisun City,CA,City,Q204087,http://www.suisun.com
