domain,org,city,state,type,qid,website
carthagetigers.org,Carthage R-9 School District,Carthage R-9,MO,School district,Q55106571,https://www.carthagetigers.org/
bamberg1.schoolinsites.com,Bamberg School District One,South Carolina,SC,School district,Q55106615,http://bamberg1.schoolinsites.com/
hamburgcsd.org,Hamburg Community School District,Hamburg,IA,School district,Q55106658,http://www.hamburgcsd.org/
diagonal.k12.ia.us,Diagonal Community School District,Diagonal,IA,School district,Q55106688,https://www.diagonal.k12.ia.us
abss.k12.nc.us,Alamance-Burlington School System,North Carolina,NC,School district,Q4705808,https://www.abss.k12.nc.us/
acsd1.org,Albany County School District Number 1,Albany County,WY,School district,Q4709305,https://www.acsd1.org/
alcornschools.org,Alcorn School District,Alcorn,MS,School district,Q4713364,https://www.alcornschools.org/
beaufortschools.net,Beaufort County School District,Beaufort,SC,School district,Q4877467,https://www.beaufortschools.net/
benton.k12.ia.us,Benton Community School District,Benton,IA,School district,Q4890552,http://www.benton.k12.ia.us/
bethel.k12.or.us,Bethel School District,Bethel,OR,School district,Q4897930,https://www.bethel.k12.or.us/
bismarckschools.org,Bismarck Public Schools,Bismarck,ND,School district,Q4918310,https://www.bismarckschools.org/
bogschools.org,Bogalusa School Board,Bogalusa,LA,School district,Q4937354,http://www.bogschools.org/
cpsb.org,Calcasieu Parish School Board,Calcasieu Parish,LA,School district,Q5018705,http://www.cpsb.org/
caldwelledu.org,Caldwell Parish School Board,Columbia,LA,School district,Q5019164,https://www.caldwelledu.org/
ccsd.k12.wy.us,Campbell County School District Number 1,Wyoming,WY,School district,Q5028046,https://www.ccsd.k12.wy.us/
crschools.us,Cedar Rapids Community School District,Cedar Rapids,IA,School district,Q5056847,https://crschools.us/
csd28j.org,Centennial School District,Centennial,OR,School district,Q5059212,https://www.csd28j.org/
central301.net,Central Community Unit School District 301,Illinois,IL,School district,Q5060628,https://central301.net/
cusd80.com,Chandler Unified School District,Chandler,AZ,School district,Q5071194,https://www.cusd80.com/
cherrycreekschools.org,Cherry Creek School District,Cherry Creek,CO,School district,Q5092329,https://www.cherrycreekschools.org/
chinovalleyschools.com,Chino Valley Unified School District,Chino Valley,AZ,School district,Q5101223,https://www.chinovalleyschools.com/
