domain,org,city,state,type,qid,website,lat,lon,enrollment
web.nmusd.us,Newport-Mesa Unified School District,Costa Mesa,CA,School district,Q8768798,https://web.nmusd.us/,33.679123,-117.894967,17816
cpsd.us,Cambridge Public Schools,Cambridge,MA,School district,Q13415268,http://www.cpsd.us,42.3719,-71.090349,6746
lasd.net,Ludington Area Schools,Ludington,MI,School district,Q14716204,https://www.lasd.net/,43.9633,-86.4387,2072
oakland.k12.mi.us,Oakland Schools,Waterford,MI,School district,Q15274209,https://www.oakland.k12.mi.us/,42.65095,-83.331341,2304
azusa.org,Azusa Unified School District,Azusa,CA,School district,Q16836535,https://www.azusa.org/,34.112221,-117.889883,6754
bpusd.net,Baldwin Park Unified School District,Baldwin Park,CA,School district,Q16837287,https://www.bpusd.net/,34.081932,-117.960982,10291
chisd.net,Cedar Hill Independent School District,Cedar Hill,TX,School district,Q16956228,https://www.chisd.net/,32.593207,-96.951022,6920
fusd.net,Fontana Unified School District,Fontana,CA,School district,Q16993574,https://www.fusd.net/,34.078019,-117.454219,33910
fmuthschools.com,Frankenmuth School District,Frankenmuth,MI,School district,Q16993774,https://fmuthschools.com/,43.335042,-83.732336,1374
ipsd.org,Indian Prairie School District 204,Aurora,IL,School district,Q16996857,https://www.ipsd.org/,41.744483,-88.224168,25687
johnston.k12.nc.us,Johnston County School District,Smithfield,NC,School district,Q16997852,https://www.johnston.k12.nc.us/,35.50202,-78.317551,37286
tustin.k12.ca.us,Tustin Unified School District,Tustin,CA,School district,Q17063355,https://www.tustin.k12.ca.us/,33.743161,-117.825316,21830
northport.k12.ny.us,Northport-East Northport Union Free School District,Northport,NY,School district,Q17083996,https://northport.k12.ny.us/,40.898374,-73.337148,4572
lamarcountyschools.org,Lamar County School District,Purvis,MS,School district,Q17108730,https://www.lamarcountyschools.org/,31.136868,-89.411078,10276
okaloosaschools.com,Okaloosa County School District,Fort Walton Beach,FL,School district,Q18155329,http://www.okaloosaschools.com/,30.405977,-86.606819,32733
yksd.com,Yukon-Koyukuk School District,Fairbanks,AK,School district,Q24892329,https://www.yksd.com/,64.83593,-147.826946,3100
aleutregion.org,Aleutian Region School District,Anchorage,AK,School district,Q29097074,https://www.aleutregion.org/,61.173216,-149.882214,16
battlecreekpublicschools.org,Battle Creek Public Schools,Battle Creek,MI,School district,Q30265423,http://www.battlecreekpublicschools.org/,42.32087,-85.180721,3753
cdaschools.org,Coeur d'Alene School District,Coeur D'Alene,ID,School district,Q30637416,https://www.cdaschools.org/,47.697979,-116.805501,10107
district70.org,Pueblo County School District 70,Pueblo,CO,School district,Q39045815,https://www.district70.org/,38.272265,-104.520621,10501
nixapublicschools.net,Nixa Public Schools,Nixa,MO,School district,Q48977519,https://www.nixapublicschools.net/,37.04106,-93.295521,6724
noblesvilleschools.org,Noblesville Schools,Noblesville,IN,School district,Q55075473,https://www.noblesvilleschools.org/,40.049557,-86.029136,10578
npsri.net,Newport Public Schools,Newport,RI,School district,Q55075489,https://www.npsri.net/,41.46846,-71.321108,1906
madison.k12.in.us,Madison Consolidated Schools,Madison,IN,School district,Q55106620,http://www.madison.k12.in.us/,38.772289,-85.40663,2705
hoxie.org,Hoxie Community Schools,Hoxie,KS,School district,Q55106631,https://www.hoxie.org,39.35565,-100.4399,454
lennox.k12.sd.us,Lennox School District 41-4,Lennox,SD,School district,Q55106694,http://www.lennox.k12.sd.us,43.350336,-96.895148,1211
ghsd.us,Galt Joint Union High School District,Galt,CA,School district,Q55612262,https://www.ghsd.us,38.256247,-121.298044,2066
lksd.org,Lower Kuskokwim School District,Bethel,AK,School district,Q55621382,https://www.lksd.org/,60.802916,-161.77297,3970
bcsdk12.org,Beekmantown Central School District,West Chazy,NY,School district,Q55645484,http://www.bcsdk12.org/,44.772925,-73.49076,2033
nacs1.org,Northern Adirondack Central School District,Ellenburg Depot,NY,School district,Q55834929,https://www.nacs1.org/,44.892881,-73.841202,831
newhaven.misd.net,New Haven Community Schools,New Haven,MI,School district,Q56274418,https://newhaven.misd.net/,42.73663,-82.807741,1442
clintondaleschools.net,Clintondale Community Schools,Clinton Township,MI,School district,Q56274419,https://www.clintondaleschools.net/,42.555768,-82.909849,1823
sd27j.org,School District 27J,Brighton,CO,School district,Q56278066,http://sd27j.org,39.987371,-104.770184,22713
keenecentralschool.org,Keene Central School District,Keene Valley,NY,School district,Q56678756,https://www.keenecentralschool.org/,44.1885,-73.7896,169
slcs.org,Saranac Lake Central School District,Saranac Lake,NY,School district,Q56744638,http://www.slcs.org,44.327715,-74.143784,1073
conroeisd.net,Conroe Independent School District,Conroe,TX,School district,Q384581,https://www.conroeisd.net/,30.320576,-95.486046,70783
humbleisd.net,Humble Independent School District,Humble,TX,School district,Q385491,https://www.humbleisd.net/,30.012879,-95.267822,48758
fcps.edu,Fairfax County Public Schools,Falls Church,VA,School district,Q408109,https://www.fcps.edu/,38.868583,-77.22411,179858
tylerisd.org,Tyler Independent School District,Tyler,TX,School district,Q586419,http://www.tylerisd.org,32.328365,-95.315183,18328
christinak12.org,Christina School District,Newark,DE,School district,Q595965,http://www.christinak12.org/,39.630194,-75.741715,13092
newbedfordschools.org,New Bedford Public Schools,New Bedford,MA,School district,Q597197,http://www.newbedfordschools.org/pages/NewBedfordSD,41.634772,-70.931697,12640
springbranchisd.com,Spring Branch Independent School District,Houston,TX,School district,Q597778,http://springbranchisd.com,29.782446,-95.514571,33649
pylusd.org,Placentia-Yorba Linda Unified School District,Placentia,CA,School district,Q961713,http://www.pylusd.org/,33.87039,-117.838051,23138
houstonisd.org,Houston Independent School District,Houston,TX,School district,Q1029560,http://www.houstonisd.org/,29.802507,-95.454267,189934
lausd.org,Los Angeles Unified School District,Los Angeles,CA,School district,Q1320340,https://lausd.org,34.056169,-118.257348,427795
cppschools.com,Comstock Park Public Schools,Comstock Park,MI,School district,Q1710977,https://www.cppschools.com/,43.03645,-85.664401,1776
grps.org,Grand Rapids Public Schools,Grand Rapids,MI,School district,Q1771480,https://grps.org/,42.949029,-85.635762,13787
lowell.k12.ma.us,Lowell Public Schools,Lowell,MA,School district,Q2077039,http://www.lowell.k12.ma.us/pages/lpsd,42.645911,-71.31027,14228
philasd.org,School District of Philadelphia,Philadelphia,PA,School district,Q2421725,https://www.philasd.org/,39.96101,-75.162641,118335
detroitk12.org,Detroit Public Schools,Detroit,MI,School district,Q2497108,https://www.detroitk12.org/,42.380308,-83.247501,568
reverek12.org,Revere Public Schools,Revere,MA,School district,Q2839547,https://www.reverek12.org/,42.412004,-71.0089,7444
irvingisd.net,Irving Independent School District,Irving,TX,School district,Q2841538,https://www.irvingisd.net/,32.838178,-96.982468,31767
sweetwaterschools.org,Sweetwater Union High School District,Chula Vista,CA,School district,Q2917283,http://www.sweetwaterschools.org/,32.61018,-117.077172,36109
