domain,org,city,state,type,qid,website
sbcfire.org,San Bernardino County Fire Protection District,San Bernardino County,CA,Special district,Q55632465,http://www.sbcfire.org/
sanmateorcd.org,San Mateo Resource Conservation District,San Mateo County,CA,Special district,Q100319993,http://www.sanmateorcd.org/
visaliacem.org,Visalia Public Cemetery District,Tulare County,CA,Special district,Q116971470,https://www.visaliacem.org/
pinerfireky.org,Piner–Fiskburg Fire District,Piner–Fiskburg,KY,Special district,Q119914937,http://www.pinerfireky.org/
bcpssd.org,Berkeley County Public Service Sewer District,Berkeley County Public Service,WV,Special district,Q120122815,https://www.bcpssd.org/
suttercemetery.specialdistrict.org,Sutter Cemetery District,Sutter County,CA,Special district,Q125448949,https://suttercemetery.specialdistrict.org/
liveoakcemeterydistrict.com,Live Oak Cemetery District,Sutter County,CA,Special district,Q125463500,https://www.liveoakcemeterydistrict.com/
santaclaracommunity.org,Santa Clara Water District,Santa Clara,OR,Special district,Q127607191,https://santaclaracommunity.org/scco/santa-clara-water-district/
pwsd1jeffco.com,Public Water Supply District 1 of Jefferson County,Public Water Supply District 1 of Jefferson,MO,Special district,Q130356235,https://pwsd1jeffco.com
wmfpdca.specialdistrict.org,White Mountain Fire Protection District,White Mountain,CA,Special district,Q134879563,https://wmfpdca.specialdistrict.org/
mpesd.org,Southeast Consortium for Special Education,Santa Clara County,CA,Special district,Q138820312,https://www.mpesd.org/community/south-east-selpa/selpa-local-plan
jcsd.us,Jurupa Community Services District,Jurupa,CA,Special district,Q139077012,https://www.jcsd.us/
mnwd.com,Moulton Niguel Water District,Moulton Niguel,CA,Special district,Q139293814,https://www.mnwd.com/
ci.mccloudcsd.ca.us,McCloud Community Services District,McCloud,CA,Special district,Q139996329,https://www.ci.mccloudcsd.ca.us/
sbvmwd.com,San Bernardino Valley Municipal Water District,San Bernardino Valley Municipal,CA,Special district,Q139997095,https://www.sbvmwd.com/
stegesan.org,Stege Sanitary District,California,CA,Special district,Q140047553,https://www.stegesan.org/
tennantcsd.org,Tennant Community Services District,Tennant,CA,Special district,Q140067695,https://www.tennantcsd.org/
sccld.org,Santa Clara County Library District,Santa Clara County,CA,Special district,Q181372,https://sccld.org/
hclib.org,Hennepin County Library,Hennepin County,MN,Special district,Q530512,https://www.hclib.org/
chipublib.org,Chicago Public Library,Illinois,IL,Special district,Q1060421,https://www.chipublib.org/
aclib.us,Alachua County Library District,Alachua County,FL,Special district,Q4705448,https://www.aclib.us/
arapahoelibraries.org,Arapahoe Library District,Arapahoe,CO,Special district,Q4784201,https://arapahoelibraries.org/
cadl.org,Capital Area District Library,Ingham County,MI,Special district,Q5035457,http://www.cadl.org/
colonalibrary.com,Colona Public Library,Colona,IL,Special district,Q5148067,http://www.colonalibrary.com/
columbuslibrary.org,Columbus Metropolitan Library,Franklin County,OH,Special district,Q5150078,https://www.columbuslibrary.org/
ccclib.org,Contra Costa County Library,Contra Costa County,CA,Special district,Q5165604,http://www.ccclib.org/
cclibraries.com,Corpus Christi Public Libraries,Texas,TX,Special district,Q5172656,http://www.cclibraries.com/
daytonmetrolibrary.org,Dayton Metro Library,Dayton,OH,Special district,Q5243554,http://www.daytonmetrolibrary.org/
ebmud.com,East Bay Municipal Utility District,East Bay Municipal,CA,Special district,Q5327824,https://www.ebmud.com/
indiantrailslibrary.org,Indian Trails Public Library District,Indian Trails Public,IL,Special district,Q6021783,http://www.indiantrailslibrary.org
kcls.org,King County Library System,King County,WA,Special district,Q6411390,https://kcls.org/
lvccld.org,Las Vegas–Clark County Library District,Las Vegas–Clark County,NV,Special district,Q6492678,http://www.lvccld.org/
lancasterlibraries.org,Library System of Lancaster County,Library System of Lancaster,PA,Special district,Q6542528,https://lancasterlibraries.org/
marinwater.org,Marin Municipal Water District,Marin Municipal,CA,Special district,Q6763741,http://www.marinwater.org
metrolibrary.org,Metropolitan Library System,Oklahoma County,OK,Special district,Q6825130,http://www.metrolibrary.org
mdpls.org,Miami-Dade Public Library System,Miami,FL,Special district,Q6827243,http://www.mdpls.org/
mpl.org,Milwaukee Public Library,Milwaukee,WI,Special district,Q6861798,http://www.mpl.org
ocls.info,Orange County Library System,Orlando,FL,Special district,Q7099576,https://www.ocls.info
pbclibrary.org,Palm Beach County Library System,Florida,FL,Special district,Q7127985,http://www.pbclibrary.org
pvld.org,Palos Verdes Library District,Palos Verdes,CA,Special district,Q7128668,http://www.pvld.org
plsinfo.org,Peninsula Library System,San Mateo,CA,Special district,Q7162947,http://www.plsinfo.org/
piercecountylibrary.org,Pierce County Library System,Pierce County,WA,Special district,Q7191789,https://www.piercecountylibrary.org/
preblelibrary.org,Preble County District Library,Preble County,OH,Special district,Q7239381,http://www.preblelibrary.org/
sno-isle.org,Sno-Isle Libraries,Island County,WA,Special district,Q7547864,http://www.sno-isle.org
sjrwmd.com,St. Johns River Water Management District,Florida,FL,Special district,Q7589023,https://www.sjrwmd.com/
mysuwanneeriver.com,Suwannee River Water Management District,Florida,FL,Special district,Q7650573,https://www.mysuwanneeriver.com/
westchesterlibraries.org,Westchester Library System,New York,NY,Special district,Q7987256,http://www.westchesterlibraries.org/
wwd.ca.gov,Westlands Water District,Westlands,CA,Special district,Q7989029,https://wwd.ca.gov/
ccls.org,Chester County Library System,Exton,PA,Special district,Q15209540,http://www.ccls.org/
countylibrary.org,Montgomery County Memorial Library System,Texas,TX,Special district,Q17022562,http://www.countylibrary.org/
pioneer.lib.ok.us,Pioneer Library System,Norman,OK,Special district,Q17066078,http://www.pioneer.lib.ok.us/
pgcmls.info,Prince George's County Memorial Library System,Prince George's County,MD,Special district,Q17085883,https://www.pgcmls.info/
railslibraries.org,Reaching Across Illinois Library System,Burr Ridge,IL,Special district,Q20710177,https://railslibraries.org/
railslibraries.info,Reaching Across Illinois Library System,Burr Ridge,IL,Special district,Q20710177,https://www.railslibraries.info/
bld.lib.ca.us,Beaumont Library District,Beaumont,CA,Special district,Q28222666,https://bld.lib.ca.us/
pcpls.org,Porter County Public Library System,Valparaiso,IN,Special district,Q28729396,http://pcpls.org/
ohoopeelibrary.org,Ohoopee Regional Library System,Vidalia,GA,Special district,Q30634312,https://ohoopeelibrary.org/
deschuteslibrary.org,Deschutes Public Library,Deschutes County,OR,Special district,Q58315177,https://www.deschuteslibrary.org/
chld.org,Coalinga–Huron Library District,Coalinga–Huron,CA,Special district,Q66364334,https://www.chld.org/
santacruzpl.org,Santa Cruz Public Libraries,Santa Cruz County,CA,Special district,Q66369382,https://www.santacruzpl.org/
prattlibrary.org,Enoch Pratt Free Library,Baltimore,MD,Special district,Q69478541,https://www.prattlibrary.org/
waukeganparks.org,Waukegan Park District,Waukegan,IL,Special district,Q123583689,https://www.waukeganparks.org/
