state,url,kind,status,score,note,rows,usable
AK,https://dot.alaska.gov/procurement/bidding/,listing,ok,1,d0 Contracting dates=0 rows=0 niche=0,0,0
AL,https://alletting.dot.state.al.us/,index,ok,4,letting index; dated NTC page resolved per scan,7,13
AR,https://ardot.gov/divisions/program-management/construction-contract-development/construction-contractors/currently-advertised-projects/,listing,needs_render,4,url corrected; projects behind JS or PDF,0,0
AZ,https://azdot.gov/business/contracts-and-specifications/current-advertisements,listing,needs_render,0,url corrected; projects behind JS or PDF,0,0
CA,https://dot.ca.gov/programs/procurement-and-contracts/bid-opening-schedule,listing,ok,6,d1 Bid Opening Schedule dates=130 rows=34 niche=3,33,0
CO,https://docs.google.com/spreadsheets/d/1Rt5KRPWVhstqbOEmFjTe0EuHpAHVIsrymLmgiL_8mrI/edit?usp=sharing,listing,ok,6,d1 Solicitation Log dates=286 rows=103 niche=6,93,0
CT,https://portal.ct.gov/dot/business/contractor-resources,listing,ok,1,d0 Contractor dates=0 rows=1 niche=0,0,0
DE,https://deldot.gov/Business/bids/index.shtml?dc=asphalt_cement_english,listing,ok,2,d0 Delaware Posted Asphalt Price dates=0 rows=14 niche=1,1,0
FL,https://www.fdot.gov/contracts/lettings/letting-project-info.shtm,listing,ok,6,d1 Central Office Letting and Project dates=153 rows=289 niche=127,244,75
GA,,listing,no_listing,0,,0,0
HI,https://hidot.hawaii.gov/administration/con/,listing,ok,1,d0 Contracts dates=1 rows=0 niche=0,1,0
IA,https://iowadot.gov/consultants-contractors/traffic-safety/traffic-safety-resource-guide/traffic-safety-improvement-program-tsip,listing,ok,3,d2 Traffic Safety Improvement Program dates=3 rows=0 niche=2,0,0
ID,https://itd.idaho.gov/facility-bidding/,listing,ok,6,d0 Facility Bidding dates=202 rows=110 niche=4,109,0
IL,https://idot.illinois.gov/procurement/procurement-opportunities/land-acquisition-bulletin.html,listing,ok,4,d1 Land Acquisition Bulletin dates=16 rows=6 niche=0,5,0
IN,https://entapps.indot.in.gov/lettings/Dashboard,listing,needs_render,0,url corrected; projects behind JS or PDF,0,0
KS,,listing,blocked,0,root blocked,0,0
KY,https://transportation.ky.gov/Construction-Procurement/Lists/Lettings,listing,ok,5,d1 Lettings dates=90 rows=32 niche=0,30,0
LA,https://www.dotd.la.gov/about/office-of-project-delivery/engineering/contract-services/consultant-contracts/projected-advertisements/,listing,ok,6,d1 Projected Advertisements dates=61 rows=31 niche=33,30,0
MA,,listing,blocked,0,root blocked,0,0
MD,https://roads.maryland.gov/mdotsha/pages/ContractAdSchedule.aspx?pageid=24,listing,ok,6,d0 Contractors Ad Schedule dates=30 rows=21 niche=7,6,0
ME,,listing,blocked,0,root blocked,0,0
MI,,listing,blocked,0,root blocked,0,0
MN,https://www.dot.mn.gov/bidlet/advertisements.html,listing,needs_render,0,url corrected; projects behind JS or PDF,0,0
MO,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting,listing,ok,6,d0 Online Plans Room dates=306 rows=22 niche=27,28,18
MS,,listing,RemoteDisconnected,0,root RemoteDisconnected,0,0
MT,https://www.mdt.mt.gov/business/contracting/advertised-bid-packages.aspx,listing,ok,4,d1 Advertised Bid Packages dates=3 rows=0 niche=3,0,0
NC,https://connect.ncdot.gov/letting/Pages/default.aspx,index,needs_render,0,url corrected; projects behind JS or PDF,0,0
ND,https://www.dot.nd.gov/dot/eplans/,listing,ok,6,d1 Bid Opening - Plans and Proposals dates=55 rows=6 niche=5,4,0
NE,https://dot.nebraska.gov/business-center/procurement/policies-and-procedures/,listing,ok,5,d1 Policies and Forms dates=40 rows=36 niche=0,30,0
NH,,listing,blocked,0,root blocked,0,0
NJ,,listing,no_listing,0,,0,0
NM,https://www.dot.nm.gov/business-support/procurement-services/nmdot-sole-source-postings-for-30-days/,listing,ok,4,d1 NMDOT Sole Source Postings for 30  dates=4 rows=3 niche=0,2,0
NV,,listing,blocked,0,root blocked,0,0
NY,,listing,robots_disallow,0,root robots_disallow,0,0
OH,,listing,http_404,0,root http_404,0,0
OK,,listing,no_listing,0,,0,0
OR,https://www.oregon.gov/odot/Business/Procurement/Pages/Letting_Schedules.aspx,listing,ok,2,d1 Letting Schedules dates=0 rows=0 niche=3,0,0
PA,https://www.penndot.pa.gov/agencies/penndot/about-penndot/equal-opportunity-equity/contract-compliance,listing,ok,2,d0 Contract Compliance dates=0 rows=0 niche=176,0,0
