domain,city,state,type,org,status,bid_url,platform,checked_date,source,verified_by
muni.org,Anchorage,AK,City,Anchorage,found,https://muni.org/departments/purchasing,agency,2026-08-19,wikidata,homepage
cityofangoon.org,Angoon,AK,City,Angoon,found,https://cityofangoon.org/rfp,agency,2026-08-19,wikidata,domain
cityofcordova.net,Cordova,AK,City,Cordova,found,https://cityofcordova.net/rfp,agency,2026-08-19,wikidata,domain
fairbanksalaska.us,Fairbanks,AK,City,Fairbanks,found,https://fairbanksalaska.us/rfps,agency,2026-08-19,wikidata,domain
cms.gustavus-ak.gov,Gustavus,AK,City,Gustavus,found,https://cms.gustavus-ak.gov/Bids.aspx,civicplus,2026-08-19,wikidata,domain
juneau.org,Juneau,AK,City,Juneau,found,https://juneau.org/doing-business/bids,agency,2026-08-19,wikidata,domain
nomealaska.org,Nome,AK,City,Nome,found,https://nomealaska.org/Bids.aspx,civicplus,2026-08-19,wikidata,domain
northpolealaska.com,North Pole,AK,City,North Pole,found,https://northpolealaska.com/business/bid_opportunities.php,agency,2026-08-19,wikidata,domain
ci.petersburg.ak.us,Petersburg,AK,City,Petersburg,found,https://ci.petersburg.ak.us/rfps,agency,2026-08-19,wikidata,domain
sandpointak.com,Sand Point,AK,City,Sand Point,found,https://sandpointak.com/bids--rfps.html,agency,2026-08-19,wikidata,domain
cityofsitka.com,Sitka,AK,City,Sitka,found,https://www.cityofsitka.com/Business-Development/City-Projects/Bids-and-RFPs,agency,2026-08-19,wikidata,domain
soldotna.org,Soldotna,AK,City,Soldotna,found,https://soldotna.org/government/rfps_invitations_to_bid.php,agency,2026-08-19,wikidata,domain
cityofabbeville.org,Abbeville,AL,City,Abbeville,found,https://cityofabbeville.org/Bids.aspx,civicplus,2026-08-19,wikidata,domain
cityofalabaster.com,Alabaster,AL,City,Alabaster,found,https://cityofalabaster.com/Bids.aspx,civicplus,2026-08-19,wikidata,domain
cityofalbertville.com,Albertville,AL,City,Albertville,found,https://cityofalbertville.com/Bids.aspx,civicplus,2026-08-19,wikidata,domain
thecityofaliceville.com,Aliceville,AL,City,Aliceville,found,https://thecityofaliceville.com/job-vacancies,agency,2026-08-19,wikidata,domain
arabcity.org,Arab,AL,City,Arab,found,https://arabcity.org/Bids.aspx,civicplus,2026-08-19,wikidata,domain
bessemeral.org,Bessemer,AL,City,Bessemer,found,https://bessemeral.org/business/bid-opportunities,agency,2026-08-19,wikidata,domain
cityofboaz.org,Boaz,AL,City,Boaz,found,https://cityofboaz.org/Bids.aspx,civicplus,2026-08-19,wikidata,domain
cityofcalera.org,Calera,AL,City,Calera,found,https://cityofcalera.org/Bids.aspx,civicplus,2026-08-19,wikidata,domain
camdenalabama.org,Camden,AL,City,Camden,found,https://camdenalabama.org/Bids.aspx,civicplus,2026-08-19,wikidata,domain
cityofchelsea.com,Chelsea,AL,City,Chelsea,found,https://cityofchelsea.com/Bids.aspx,civicplus,2026-08-19,wikidata,domain
cityofcreola.org,Creola,AL,City,Creola,found,https://cityofcreola.org/rfps,agency,2026-08-19,wikidata,domain
daphneal.com,Daphne,AL,City,Daphne,found,https://daphneal.com/Bids.aspx,civicplus,2026-08-19,wikidata,domain
cityofdecatural.com,Decatur,AL,City,Decatur,found,https://cityofdecatural.com/government/departments/purchasing/bidder_list_application_form.php,agency,2026-08-19,wikidata,domain
dothan.org,Dothan,AL,City,Dothan,found,https://dothan.org/Bids.aspx,civicplus,2026-08-19,wikidata,domain
eufaulaalabama.com,Eufaula,AL,City,Eufaula,found,https://eufaulaalabama.com/Bids.aspx,civicplus,2026-08-19,wikidata,domain
cityofgadsden.com,Gadsden,AL,City,Gadsden,found,https://cityofgadsden.com/Bids.aspx,civicplus,2026-08-19,wikidata,domain
